place   sex     color   min         max lvl
       1       0       0    -4.4    -3.6      -4
       1       0       0    -3.5    -2.8      -3
       1       0       0    -2.7    -2.0      -2
       1       0       0    -1.9    -1.1      -1
       1       0       0    -1.0    -0.3       0
       1       0       0    -0.2     0.5       1
       1       0       0     0.6     1.4       2
       1       0       0     1.5     2.2       3
       1       0       0     2.3     3.0       4
       1       0       0     3.1     3.9       5
       1       0       0     4.0     4.7       6
       1       0       0     4.8     5.5       7
       1       0       0     5.6     6.3       8
       1       0       0     6.4     7.2       9
       1       0       0     7.3     8.0      10
       1       0       0     8.1     8.8      11
       1       0       0     8.9     9.7      12
       1       0       0     9.8    10.5      13
       1       0       0    10.6    11.3      14
       1       0       0    11.4    12.2      15
       1       0       0    12.3    13.0      16
       1       0       0    13.1    13.8      17
       1       0       0    13.9    14.7      18
       1       0       0    14.8    15.5      19
       1       0       0    15.6    16.3      20
       1       0       0    16.4    17.1      21
       1       0       0    17.2    18.0      22
       1       0       0    18.1    18.8      23
       1       0       0    18.9    19.6      24
       1       0       0    19.7    20.5      25
       1       0       0    20.6    21.3      26
       1       0       0    21.4    22.1      27
       1       0       0    22.2    23.0      28
       1       0       0    23.1    23.8      29
       1       0       0    23.9    24.6      30
       1       0       0    24.7    25.5      31
       1       0       0    25.6    26.3      32
       1       0       0    26.4    27.1      33
       1       0       0    27.2    28.0      34
       1       0       0    28.1    28.8      35
       1       0       0    28.9    29.6      36
       1       0       0    29.7    30.4      37
       1       0       0    30.5    31.3      38
       1       0       0    31.4    32.1      39
       1       0       0    32.2    32.9      40
       1       0       0    33.0    33.8      41
       1       0       0    33.9    34.6      42
       1       0       0    34.7    35.4      43
       1       0       0    35.5    36.3      44
       1       0       0    36.4    37.1      45
       1       0       0    37.2    37.9      46
       1       0       0    38.0    38.8      47
       1       0       0    38.9    39.6      48
       1       0       0    39.7    40.4      49
       1       0       0    40.5    41.2      50
       1       0       0    41.3    42.1      51
       1       0       0    42.2    42.9      52
       1       0       0    43.0    43.7      53
       1       0       0    43.8    44.6      54
       1       0       0    44.7    45.4      55
       1       0       0    45.5    46.2      56
       1       0       0    46.3    47.1      57
       1       0       0    47.2    47.9      58
       1       0       0    48.0    48.7      59
       1       0       0    48.8    49.6      60
       1       0       0    49.7    50.4      61
       1       0       0    50.5    51.2      62
       1       0       0    51.3    52.0      63
       1       0       0    52.1    52.9      64
       1       0       0    53.0    53.7      65
       1       0       0    53.8    54.0      66
       1       0       1    -4.3    -3.5      -5
       1       0       1    -3.4    -2.7      -4
       1       0       1    -2.6    -1.8      -3
       1       0       1    -1.7    -1.0      -2
       1       0       1    -0.9    -0.1      -1
       1       0       1     0.0     0.7       0
       1       0       1     0.8     1.6       1
       1       0       1     1.7     2.4       2
       1       0       1     2.5     3.3       3
       1       0       1     3.4     4.1       4
       1       0       1     4.2     5.0       5
       1       0       1     5.1     5.8       6
       1       0       1     5.9     6.7       7
       1       0       1     6.8     7.5       8
       1       0       1     7.6     8.4       9
       1       0       1     8.5     9.2      10
       1       0       1     9.3    10.1      11
       1       0       1    10.2    10.9      12
       1       0       1    11.0    11.8      13
       1       0       1    11.9    12.6      14
       1       0       1    12.7    13.5      15
       1       0       1    13.6    14.3      16
       1       0       1    14.4    15.2      17
       1       0       1    15.3    16.0      18
       1       0       1    16.1    16.9      19
       1       0       1    17.0    17.7      20
